Pokemon,Method,Location,Location Index,Time,Before Gym,Notes,AyTales Testing,Common,Uncommon,Rare,Woke AF,First Encounter,Permanent Encounter,Unique Encounter,Type 1,Type 2,Evo Types,First Stage,Evolutions,Final Evolution
Mantine,Evolution,Spinel Town,00045 Spinel Town,Any,008 - Serra,Level up with remoraid in party,,,,,,N,Y,Y,Water,Flying,,,0,Y
Accelgor,Evolution,Spinel Town,00045 Spinel Town,Any,008 - Serra,"Trade Karrablast to NPC in Apt Building, Unique OT",,,,,,Y,N,Y,Bug,,,,0,Y
Escavalier,Evolution,Spinel Town,00045 Spinel Town,Any,008 - Serra,"Trade Shelmet to NPC in Apt Building, Unique OT",,,,,,Y,N,Y,Bug,Steel,,,0,Y
Huntail,Evolution,Lapis Alleyway,00052 Lapis Alleyway,Any,008 - Serra,"See Link Stone entries - Deep Sea Tooth by wild Carvahna, Good Rod, else Dept 11F",,,,,,Y,Y,Y,Water,,,,0,Y
Barboach,Good Rod,Lapis Alleyway,00052 Lapis Alleyway,Any,008 - Serra,,,,,,,N,N,N,Water,Ground,,Y,1,
Carvanha,Good Rod,Lapis Alleyway,00052 Lapis Alleyway,Any,008 - Serra,,O,Deep Sea Tooth,,,,N,Y,Y,Dark,Water,,Y,1,
Politoed,Evolution,Tanzan Cove,00054 Tanzan Cove,Any,008 - Serra,"See Link Stone entires - King's Rock held by wild Poliwhirl, else Dept 11F",,,,,,Y,N,Y,Water,,,,0,Y
Basculin,Good Rod,Tanzan Cove,00054 Tanzan Cove,Any,008 - Serra,,X,Deep Sea Tooth,,,,Y,N,Y,Water,,,Y,-,Y
Luvdisc,Good Rod,Tanzan Cove,00054 Tanzan Cove,Any,008 - Serra,,X,Heart Scale,,,,Y,N,Y,Water,,,Y,-,Y
Mantyke,Good Rod,Tanzan Cove,00054 Tanzan Cove,Any,008 - Serra,,,,,,,N,N,N,Water,Flying,,Y,1,
Audino,Land,Tanzan Cove,00054 Tanzan Cove,Any,008 - Serra,,,Oran Berry,Sitrus Berry,,,N,N,N,Normal,,Normal Fairy,Y,-,Y
Cutiefly,Land,Tanzan Cove,00054 Tanzan Cove,Any,008 - Serra,,X,Honey,,,,Y,N,Y,Bug,Fairy,,Y,1,
Oricorio,Land,Tanzan Cove,00054 Tanzan Cove,Any,008 - Serra,,X,Honey,,,,Y,N,Y,Fire,Flying,Electric Psychic Ghost,Y,-,Y
Ribombee,Land,Tanzan Cove,00054 Tanzan Cove,Any,008 - Serra,,X,Honey,,,,Y,N,Y,Bug,Fairy,,,0,Y
Swanna,Land,Tanzan Cove,00054 Tanzan Cove,Day,008 - Serra,,X,,,,,Y,N,Y,Water,Flying,,,0,Y
Comfey,Land,Tanzan Cove,00054 Tanzan Cove,"Day, Night",008 - Serra,,,Elemental Seed,,,,N,N,N,Fairy,,,Y,-,Y
Dedenne,Land,Tanzan Cove,00054 Tanzan Cove,"Day, Night",008 - Serra,,,,,,,N,N,N,Electric,Fairy,,Y,-,Y
Togedemaru,Land,Tanzan Cove,00054 Tanzan Cove,"Day, Night",008 - Serra,,,,,,,N,N,N,Electric,Steel,,Y,-,Y
Ledian,Land,Tanzan Cove,00054 Tanzan Cove,Morning,008 - Serra,,,,,,,N,N,N,Bug,Flying,,,0,Y
Poliwag,Land,Tanzan Cove,00054 Tanzan Cove,Morning,008 - Serra,,X,,,,,Y,N,Y,Water,,Water Fighting,Y,2,
Poliwhirl,Land,Tanzan Cove,00054 Tanzan Cove,Morning,008 - Serra,,X,Kings Rock,,,,Y,N,Y,Water,,,,1,
Ducklett,Land,Tanzan Cove,00054 Tanzan Cove,"Morning, Day",008 - Serra,,X,,,,,N,Y,Y,Water,Flying,,Y,1,
Ariados,Land,Tanzan Cove,00054 Tanzan Cove,Night,008 - Serra,,,,,,,N,N,N,Bug,Poison,,,0,Y
Paras,Land,Tanzan Cove,00054 Tanzan Cove,Night,008 - Serra,,,Tiny Mushroom,Big Mushroom,,,N,N,N,Bug,Grass,,Y,1,
Parasect,Land,Tanzan Cove,00054 Tanzan Cove,Night,008 - Serra,,O,Tiny Mushroom,Big Mushroom,,,N,Y,Y,Bug,Grass,,,0,Y
Goldeen,Old Rod,Tanzan Cove,00054 Tanzan Cove,Any,008 - Serra,,,Mystic Water,,,,N,N,N,Water,,,Y,1,
Seaking,Old Rod,Tanzan Cove,00054 Tanzan Cove,Any,008 - Serra,,O,Mystic Water,,,,N,Y,Y,Water,,,,0,Y
Alolan Graveler,Cave,Lost Railcave,00055 Lost Railcave,Any,008 - Serra,,X,,,,,Y,N,Y,Rock,Electric,,,1,
Kecleon,Cave,Lost Railcave,00055 Lost Railcave,Any,008 - Serra,,,,,,,N,N,N,Normal,,,Y,-,Y
Noibat,Cave,Lost Railcave,00055 Lost Railcave,Any,008 - Serra,,,,,,,N,N,N,Flying,Dragon,,Y,1,
Onix,Cave,Lost Railcave,00055 Lost Railcave,Any,008 - Serra,,,,,,,N,N,N,Rock,Ground,Steel Ground,Y,1,
Sandshrew,Cave,Lost Railcave,00055 Lost Railcave,Any,008 - Serra,,,Grip Claw,,,,N,N,N,Ground,,,Y,1,
Smeargle,Cave,Lost Railcave,00055 Lost Railcave,Any,008 - Serra,,X,,,,,Y,N,Y,Normal,,,Y,-,Y
Swinub,Cave,Lost Railcave,00055 Lost Railcave,Any,008 - Serra,,,,,,,N,Y,Y,Ice,Ground,,Y,2,
Eevee,Event,Lost Railcave,00055 Lost Railcave,Any,008 - Serra,"Follow cave system, enter only entrances with no railway leading into them. Unique OT",X,,,,Yes,N,Y,Y,Normal,,Water Electric Fire Psychic Dark Grass Ice Fairy,Y,1,
Alolan Geodude,Cave,Tanzan Mountain,00056 Tanzan Mountain,Any,008 - Serra,,X,,,,,Y,N,Y,Rock,Electric,,Y,2,
Alolan Graveler,Cave,Tanzan Mountain,00056 Tanzan Mountain,Any,008 - Serra,,,,,,,N,N,N,Rock,Electric,,,1,
Arbok,Cave,Tanzan Mountain,00056 Tanzan Mountain,Any,008 - Serra,,,,,,,N,N,N,Poison,,,,0,Y
Kecleon,Cave,Tanzan Mountain,00056 Tanzan Mountain,Any,008 - Serra,,,,,,,N,N,N,Normal,,,Y,-,Y
Noibat,Cave,Tanzan Mountain,00056 Tanzan Mountain,Any,008 - Serra,,,,,,,N,N,N,Flying,Dragon,,Y,1,
Onix,Cave,Tanzan Mountain,00056 Tanzan Mountain,Any,008 - Serra,,,,,,,N,N,N,Rock,Ground,Steel Ground,Y,1,
Sandile,Cave,Tanzan Mountain,00056 Tanzan Mountain,Any,008 - Serra,,X,Black Glasses,,,,Y,N,Y,Ground,Dark,,Y,2,
Sandshrew,Cave,Tanzan Mountain,00056 Tanzan Mountain,Any,008 - Serra,,,Grip Claw,,,,N,N,N,Ground,,,Y,1,
Lunatone,Event,Tanzan Mountain,00056 Tanzan Mountain,Any,008 - Serra,"50%, Pokesnax",X,,,,Yes,N,N,Y,Rock,Psychic,,Y,-,Y
Solrock,Event,Tanzan Mountain,00056 Tanzan Mountain,Any,008 - Serra,"50%, Pokesnax",O,,,,Yes,N,N,Y,Rock,Psychic,,Y,-,Y
Porygon2,Evolution,Lapis Ward,00023 Lapis Ward,Any,009 - Noel,"See Link Stone entries - Upgrade found in Tanzan Depths, else Dept 9F",,,,,Yes,Y,N,Y,Normal,,,,1,
Alolan Geodude,Cave,Tanzan Depths,00058 Tanzan Depths,Any,009 - Noel,,,,,,,N,N,N,Rock,Electric,,Y,2,
Alolan Graveler,Cave,Tanzan Depths,00058 Tanzan Depths,Any,009 - Noel,,,,,,,N,N,N,Rock,Electric,,,1,
Arbok,Cave,Tanzan Depths,00058 Tanzan Depths,Any,009 - Noel,,,,,,,N,N,N,Poison,,,,0,Y
Diglett,Cave,Tanzan Depths,00058 Tanzan Depths,Any,009 - Noel,,,Soft Sand,,,,N,N,N,Ground,,,Y,1,
Dugtrio,Cave,Tanzan Depths,00058 Tanzan Depths,Any,009 - Noel,,x,Soft Sand,,,,Y,N,Y,Ground,,,,0,Y
Durant,Cave,Tanzan Depths,00058 Tanzan Depths,Any,009 - Noel,,x,,,,,Y,N,Y,Bug,Steel,,Y,-,Y
Hippopotas,Cave,Tanzan Depths,00058 Tanzan Depths,Any,009 - Noel,,X,,,,,Y,N,Y,Ground,,,Y,1,
Onix,Cave,Tanzan Depths,00058 Tanzan Depths,Any,009 - Noel,,o,,,,,N,N,N,Rock,Ground,Steel Ground,Y,1,
Sandslash,Cave,Tanzan Depths,00058 Tanzan Depths,Any,009 - Noel,,x,Grip Claw,,,,Y,N,Y,Ground,,,,0,Y
Steelix,Evolution,Tanzan Depths,00058 Tanzan Depths,Any,010 - Radomus,"See Link Stone entries - Enter Aventurine Woods then return to Tanzan Depths to find Metal Coat, else Dept 11F",,,,,,Y,N,Y,Steel,Ground,,,0,Y
Pinsir,Event,South Aventurine Woods,00060 South Aventurine Woods,Any,010 - Radomus,"Honey quest, Interact with Herarcross",o,,,,,Y,N,Y,Bug,,Bug Flying,Y,-,Y
Heracross,Event,South Aventurine Woods,00060 South Aventurine Woods,Any,010 - Radomus,"Honey quest, Interact with Pinsir",x,,,,,Y,N,Y,Bug,Fighting,,Y,-,Y
Flabebe,Event,South Aventurine Woods,00060 South Aventurine Woods,Any,010 - Radomus,"With Floral Charm, enter flower that puts you to sleep",x,,,,,Y,N,Y,Fairy,,,Y,2,
Link Stone,Evolution,South Aventurine Woods,00060 South Aventurine Woods,Any,010 - Radomus,Else Dept 9F,,,,,,Y,N,Y,,,,,,
Combee,Headbutt,South Aventurine Woods,00060 South Aventurine Woods,Any,010 - Radomus,,o,Honey,,,,N,Y,Y,Bug,Flying,,Y,1,
Komala,Headbutt,South Aventurine Woods,00060 South Aventurine Woods,Any,010 - Radomus,,x,,,,,Y,N,Y,Normal,,,Y,-,Y
Mothim,Headbutt,South Aventurine Woods,00060 South Aventurine Woods,Any,010 - Radomus,,x,Silver Powder,,,,Y,N,Y,Bug,Flying,,,0,Y
Pineco,Headbutt,South Aventurine Woods,00060 South Aventurine Woods,Any,010 - Radomus,,,,,,,N,N,N,Bug,,Bug Steel,Y,1,
Swablu,Headbutt,South Aventurine Woods,00060 South Aventurine Woods,Any,010 - Radomus,,o,,,,,N,Y,Y,Normal,Flying,Dragon Flying Dragon Fairy,Y,1,
Taillow,Headbutt,South Aventurine Woods,00060 South Aventurine Woods,Any,010 - Radomus,,,,,,,N,N,N,Normal,Flying,,Y,1,
Wormadam,Headbutt,South Aventurine Woods,00060 South Aventurine Woods,Any,010 - Radomus,,x,Silver Powder,,,,Y,N,Y,Bug,Grass,Steel Ground,,0,Y
Bewear,Land,South Aventurine Woods,00060 South Aventurine Woods,Any,010 - Radomus,,o,,,,,Y,N,Y,Normal,Fighting,,,0,Y
Panpour,Land,South Aventurine Woods,00060 South Aventurine Woods,Any,010 - Radomus,,,,,,,N,N,N,Water,,,Y,1,
Pansage,Land,South Aventurine Woods,00060 South Aventurine Woods,Any,010 - Radomus,,,,,,,N,N,N,Grass,,,Y,1,
Pansear,Land,South Aventurine Woods,00060 South Aventurine Woods,Any,010 - Radomus,,,,,,,N,N,N,Fire,,,Y,1,
Passimian,Land,South Aventurine Woods,00060 South Aventurine Woods,Any,010 - Radomus,,x,,,,,Y,N,Y,Fighting,,,Y,-,Y
Primeape,Land,South Aventurine Woods,00060 South Aventurine Woods,Any,010 - Radomus,,o,,,,,N,Y,Y,Fighting,,,,0,Y
Loudred,Land,South Aventurine Woods,00060 South Aventurine Woods,Day,010 - Radomus,,x,,,,,Y,N,Y,Normal,,,,1,
Sudowoodo,Land,South Aventurine Woods,00060 South Aventurine Woods,Day,010 - Radomus,,x,,,,,Y,N,Y,Rock,,,,0,Y
Ledian,Land,South Aventurine Woods,00060 South Aventurine Woods,Morning,010 - Radomus,,,,,,,N,N,N,Bug,Flying,,,0,Y
Ledyba,Land,South Aventurine Woods,00060 South Aventurine Woods,Morning,010 - Radomus,,,,,,,N,N,N,Bug,Flying,,Y,1,
Buneary,Land,South Aventurine Woods,00060 South Aventurine Woods,"Morning, Day",010 - Radomus,,o,,,,,N,Y,Y,Normal,,Normal Fighting,Y,1,
Pachirisu,Land,South Aventurine Woods,00060 South Aventurine Woods,"Morning, Day",010 - Radomus,,,,,,,N,N,N,Electric,,,Y,-,Y
Ariados,Land,South Aventurine Woods,00060 South Aventurine Woods,Night,010 - Radomus,,,,,,,N,N,N,Bug,Poison,,,0,Y
Kricketune,Land,South Aventurine Woods,00060 South Aventurine Woods,Night,010 - Radomus,,o,Metronome,,,,Y,N,Y,Bug,,,,0,Y
Paras,Land,South Aventurine Woods,00060 South Aventurine Woods,Night,010 - Radomus,,,Tiny Mushroom,Big Mushroom,,,N,N,N,Bug,Grass,,Y,1,
Spinarak,Land,South Aventurine Woods,00060 South Aventurine Woods,Night,010 - Radomus,,,,,,,N,N,N,Bug,Poison,,Y,1,
Tyrogue,Event,Route 1,00061 Route 1,Any,010 - Radomus,Trade Dunsparce Unique OT,x,,,,,Y,N,Y,Fighting,,,Y,1,
Bouffalant,Event,Route 1,00061 Route 1,Any,010 - Radomus,,x,,,,,Y,N,Y,Normal,,,Y,-,Y
Tauros,Event,Route 1,00061 Route 1,Any,010 - Radomus,,x,,,,,Y,N,Y,Normal,,,Y,-,Y
Audino,Land,Route 1,00061 Route 1,Any,010 - Radomus,,,Oran Berry,Sitrus Berry,,,N,N,N,Normal,,Normal Fairy,Y,-,Y
Bouffalant,Land,Route 1,00061 Route 1,Any,010 - Radomus,,o,,,,,Y,N,Y,Normal,,,Y,-,Y
Kangaskhan,Land,Route 1,00061 Route 1,Any,010 - Radomus,,x,,,,,Y,N,Y,Normal,,,Y,-,Y
Mudbray,Land,Route 1,00061 Route 1,Any,010 - Radomus,,x,Light Clay,,,,Y,N,Y,Ground,,,Y,1,
Mudsdale,Land,Route 1,00061 Route 1,Any,010 - Radomus,,x,,,,,Y,N,Y,Ground,,,,0,Y
Tauros,Land,Route 1,00061 Route 1,Any,010 - Radomus,,o,,,,,Y,N,Y,Normal,,,Y,-,Y
Linoone,Land,Route 1,00061 Route 1,"Day, Night",010 - Radomus,,x,Potion,Max Revive,,,Y,N,Y,Normal,,,,0,Y
Ponyta,Land,Route 1,00061 Route 1,"Day, Night",010 - Radomus,,o,,,,,N,Y,Y,Fire,,,Y,1,
Cherrim,Land,Route 1,00061 Route 1,Morning,010 - Radomus,,x,Miracle Seed,,,,Y,N,Y,Grass,,,,0,Y
Cherubi,Land,Route 1,00061 Route 1,Morning,010 - Radomus,,o,Miracle Seed,,,,N,Y,Y,Grass,,,Y,1,
Deerling,Land,Route 1,00061 Route 1,"Morning, Day",010 - Radomus,Spring or Summer Form,,,,,,N,N,N,Normal,Grass,,Y,1,
Gogoat,Land,Route 1,00061 Route 1,"Morning, Day",010 - Radomus,,x,,,,,Y,N,Y,Grass,,,,0,Y
Miltank,Land,Route 1,00061 Route 1,"Morning, Day",010 - Radomus,,x,Moo Moo Milk,Moo Moo Milk,Moo Moo Milk,,Y,N,Y,Normal,,,Y,-,Y
Skiddo,Land,Route 1,00061 Route 1,"Morning, Day",010 - Radomus,,x,,,,,N,Y,Y,Grass,,,Y,1,
Arbok,Land,Route 1,00061 Route 1,Night,010 - Radomus,,,,,,,N,N,N,Poison,,,,0,Y
Karrablast,Land,Route 1,00061 Route 1,Night,010 - Radomus,,,,,,,N,N,N,Bug,,Bug Steel,Y,1,
Rapidash,Land,Route 1,00061 Route 1,Night,010 - Radomus,,o,,,,,Y,N,Y,Fire,,,,0,Y
Araquanid,Good Rod,North Aventurine Woods,00062 North Aventurine Woods,Any,010 - Radomus,,x,Mystic Water,,,,Y,N,Y,Water,Bug,,,0,Y
Dewpider,Good Rod,North Aventurine Woods,00062 North Aventurine Woods,Any,010 - Radomus,,x,Mystic Water,,,,Y,N,Y,Water,Bug,,Y,1,
Combee,Headbutt,North Aventurine Woods,00062 North Aventurine Woods,Any,010 - Radomus,,,Honey,,,,N,N,N,Bug,Flying,,Y,1,
Komala,Headbutt,North Aventurine Woods,00062 North Aventurine Woods,Any,010 - Radomus,,,,,,,N,N,N,Normal,,,Y,-,Y
Mothim,Headbutt,North Aventurine Woods,00062 North Aventurine Woods,Any,010 - Radomus,,,Silver Powder,,,,N,N,N,Bug,Flying,,,0,Y
Pineco,Headbutt,North Aventurine Woods,00062 North Aventurine Woods,Any,010 - Radomus,,,,,,,N,N,N,Bug,,Bug Steel,Y,1,
Swablu,Headbutt,North Aventurine Woods,00062 North Aventurine Woods,Any,010 - Radomus,,,,,,,N,N,N,Normal,Flying,Dragon Flying Dragon Fairy,Y,1,
Taillow,Headbutt,North Aventurine Woods,00062 North Aventurine Woods,Any,010 - Radomus,,,,,,,N,N,N,Normal,Flying,,Y,1,
Wormadam,Headbutt,North Aventurine Woods,00062 North Aventurine Woods,Any,010 - Radomus,,,Silver Powder,,,,N,N,N,Bug,Grass,Steel Ground,,0,Y
Bewear,Land,North Aventurine Woods,00062 North Aventurine Woods,Any,010 - Radomus,,,,,,,N,N,N,Normal,Fighting,,,0,Y
Oranguru,Land,North Aventurine Woods,00062 North Aventurine Woods,Any,010 - Radomus,,x,,,,,Y,N,Y,Normal,Psychic,,Y,-,Y
Panpour,Land,North Aventurine Woods,00062 North Aventurine Woods,Any,010 - Radomus,,,,,,,N,N,N,Water,,,Y,1,
Pansage,Land,North Aventurine Woods,00062 North Aventurine Woods,Any,010 - Radomus,,,,,,,N,N,N,Grass,,,Y,1,
Pansear,Land,North Aventurine Woods,00062 North Aventurine Woods,Any,010 - Radomus,,,,,,,N,N,N,Fire,,,Y,1,
Primeape,Land,North Aventurine Woods,00062 North Aventurine Woods,Any,010 - Radomus,,,,,,,N,N,N,Fighting,,,,0,Y
Loudred,Land,North Aventurine Woods,00062 North Aventurine Woods,Day,010 - Radomus,,,,,,,N,N,N,Normal,,,,1,
Sudowoodo,Land,North Aventurine Woods,00062 North Aventurine Woods,"Day, Night",010 - Radomus,,,,,,,N,N,N,Rock,,,,0,Y
Ledian,Land,North Aventurine Woods,00062 North Aventurine Woods,Morning,010 - Radomus,,,,,,,N,N,N,Bug,Flying,,,0,Y
Ledyba,Land,North Aventurine Woods,00062 North Aventurine Woods,Morning,010 - Radomus,,,,,,,N,N,N,Bug,Flying,,Y,1,
Buneary,Land,North Aventurine Woods,00062 North Aventurine Woods,"Morning, Day",010 - Radomus,,,,,,,N,N,N,Normal,,Normal Fighting,Y,1,
Pachirisu,Land,North Aventurine Woods,00062 North Aventurine Woods,"Morning, Day",010 - Radomus,,,,,,,N,N,N,Electric,,,Y,-,Y
Ariados,Land,North Aventurine Woods,00062 North Aventurine Woods,Night,010 - Radomus,,,,,,,N,N,N,Bug,Poison,,,0,Y
Paras,Land,North Aventurine Woods,00062 North Aventurine Woods,Night,010 - Radomus,,,Tiny Mushroom,Big Mushroom,,,N,N,N,Bug,Grass,,Y,1,
Spinarak,Land,North Aventurine Woods,00062 North Aventurine Woods,Night,010 - Radomus,,,,,,,N,N,N,Bug,Poison,,Y,1,
Dewpider,Old Rod,North Aventurine Woods,00062 North Aventurine Woods,Any,010 - Radomus,,o,Mystic Water,,,,Y,N,Y,Water,Bug,,Y,1,
Deerling,Land,Vanhanen Labyrinth,00063 Vanhanen Labyrinth,Any,010 - Radomus,Spring or Summer Form,,,,,,N,N,N,Normal,Grass,,Y,1,
Furfrou,Land,Vanhanen Labyrinth,00063 Vanhanen Labyrinth,Any,010 - Radomus,,,,,,,N,N,N,Normal,,,Y,-,Y
Girafarig,Land,Vanhanen Labyrinth,00063 Vanhanen Labyrinth,Any,010 - Radomus,,x,,,,,N,Y,Y,Normal,Psychic,,Y,-,Y
Kecleon,Land,Vanhanen Labyrinth,00063 Vanhanen Labyrinth,Any,010 - Radomus,,,,,,,N,N,N,Normal,,,Y,-,Y
Ponyta,Land,Vanhanen Labyrinth,00063 Vanhanen Labyrinth,Any,010 - Radomus,,,,,,,N,N,N,Fire,,,Y,1,
Skiddo,Land,Vanhanen Labyrinth,00063 Vanhanen Labyrinth,Any,010 - Radomus,,,,,,,N,N,N,Grass,,,Y,1,
Stantler,Land,Vanhanen Labyrinth,00063 Vanhanen Labyrinth,Any,010 - Radomus,,,,,,,N,N,N,Normal,,,Y,-,Y
Natu,Cave,Citae Astrae,00066 Citae Astrae,Any,010 - Radomus,,,,,,,N,N,N,Psychic,Flying,,Y,1,
Sigilyph,Cave,Citae Astrae,00066 Citae Astrae,Any,010 - Radomus,,x,,,,,Y,N,Y,Psychic,Flying,,Y,-,Y
Unown,Cave,Citae Astrae,00066 Citae Astrae,Any,010 - Radomus,,,,,,Yes,N,N,N,Psychic,,,Y,-,Y
Xatu,Cave,Citae Astrae,00066 Citae Astrae,Any,010 - Radomus,,x,,,,,Y,N,Y,Psychic,Flying,,,0,Y
Baltoy,Land,Citae Astrae,00066 Citae Astrae,Any,010 - Radomus,,,Light Clay,,,Yes,N,N,N,Ground,Psychic,,Y,1,
Claydol,Land,Citae Astrae,00066 Citae Astrae,Any,010 - Radomus,,x,Light Clay,,,Yes,Y,N,Y,Ground,Psychic,,,0,Y
Drowzee,Land,Citae Astrae,00066 Citae Astrae,Any,010 - Radomus,,o,,,,,N,N,N,Psychic,,,Y,1,
Elgyem,Land,Citae Astrae,00066 Citae Astrae,Any,010 - Radomus,,,,,,,N,N,N,Psychic,,,Y,1,
Hypno,Land,Citae Astrae,00066 Citae Astrae,Any,010 - Radomus,,x,,,,,Y,N,Y,Psychic,,,,0,Y
Unown,Land,Citae Astrae,00066 Citae Astrae,Any,010 - Radomus,,,,,,Yes,N,N,N,Psychic,,,Y,-,Y
Alolan Sandshrew,Cave,Celestinine Mountain,00068 Celestinine Mountain,Any,010 - Radomus,"1F, 2F, 3F, B1F, B2F, 4F",,,,,,N,N,N,Ice,Steel,,Y,1,
Alolan Sandslash,Cave,Celestinine Mountain,00068 Celestinine Mountain,Any,010 - Radomus,"1F, 2F, 3F, B1F, B2F, 4F",,,,,,N,N,N,Ice,Steel,,,0,Y
Beartic,Cave,Celestinine Mountain,00068 Celestinine Mountain,Any,010 - Radomus,"1F, 2F, 3F, B1F, B2F, 4F",,,,,,N,N,N,Ice,,,,0,Y
Buizel,Cave,Celestinine Mountain,00068 Celestinine Mountain,Any,010 - Radomus,"1F, 2F, 3F, B1F, B2F, 4F",x,,,,,N,Y,Y,Water,,,Y,1,
Cubchoo,Cave,Celestinine Mountain,00068 Celestinine Mountain,Any,010 - Radomus,"1F, 2F, 3F, B1F, B2F, 4F",,,,,,N,N,N,Ice,,,Y,1,
Delibird,Cave,Celestinine Mountain,00068 Celestinine Mountain,Any,010 - Radomus,"1F, 2F, 3F, B1F, B2F, 4F",o,,,,,N,Y,Y,Ice,Flying,,Y,-,Y
Floatzel,Cave,Celestinine Mountain,00068 Celestinine Mountain,Any,010 - Radomus,"1F, 2F, 3F, B1F, B2F, 4F",X,,,,,Y,N,Y,Water,,,,0,Y
Piloswine,Cave,Celestinine Mountain,00068 Celestinine Mountain,Any,010 - Radomus,"1F, 2F, 3F, B1F, B2F, 4F",x,,,,,Y,N,Y,Ice,Ground,,,1,
Swinub,Cave,Celestinine Mountain,00068 Celestinine Mountain,Any,010 - Radomus,"1F, 2F, 3F, B1F, B2F, 4F",,,,,,N,N,N,Ice,Ground,,Y,2,
Crabominable,Evolution,Celestinine Mountain,00068 Celestinine Mountain,Any,010 - Radomus,"B2F, Icy Rock, Through North Aventurine Woods",,,,,,Y,N,Y,Fighting,Ice,,,0,Y
Qwilfish,Good Rod,Celestinine Mountain,00068 Celestinine Mountain,Any,010 - Radomus,"1F, 2F, 3F, B1F, B2F",x,Poison Barb,,,,Y,N,Y,Water,Poison,,Y,-,Y
Clauncher,Good Rod,Celestinine Mountain,00068 Celestinine Mountain,Any,010 - Radomus,"1F, 2F, 3F, B1F, B2F, 4F",,,,,,N,N,N,Water,,,Y,1,
Remoraid,Good Rod,Celestinine Mountain,00068 Celestinine Mountain,Any,010 - Radomus,"1F, 2F, 3F, B1F, B2F, 4F",,,,,,N,N,N,Water,,,Y,1,
Finneon,Old Rod,Celestinine Mountain,00068 Celestinine Mountain,Any,010 - Radomus,"1F, 2F, 3F, B1F, B2F, 4F",o,,,,,N,Y,Y,Water,,,Y,1,
Wishiwashi,Old Rod,Celestinine Mountain,00068 Celestinine Mountain,Any,010 - Radomus,"1F, 2F, 3F, B1F, B2F, 4F",x,,,,,Y,N,Y,Water,,,Y,-,Y
Axew,Event,The Underroot,00019 The Underroot,Any,011 - Luna,Beyond crystal and tree roots. Need access to Ioila Valley and the crystal keys,X,,,,,N,Y,Y,Dragon,,,Y,2,
Cofagrigus,Cave,Yureyu Power Plant,00027 Yureyu Power Plant,Any,011 - Luna,Back Room,x,Spell Tag,,,,Y,N,Y,Ghost,,,,0,Y
Dusclops,Cave,Yureyu Power Plant,00027 Yureyu Power Plant,Any,011 - Luna,Back Room,x,Spell Tag,,,,Y,N,Y,Ghost,,,,1,
Electrode,Cave,Yureyu Power Plant,00027 Yureyu Power Plant,Any,011 - Luna,Back Room,O,,,,Yes,Y,N,Y,Electric,,,,0,Y
Klinklang,Cave,Yureyu Power Plant,00027 Yureyu Power Plant,Any,011 - Luna,Back Room,x,,,,Yes,Y,N,Y,Steel,,,,0,Y
Electrode,Event,Yureyu Power Plant,00027 Yureyu Power Plant,Any,011 - Luna,Back Room,X,,,,Yes,Y,N,Y,Electric,,,,0,Y
Rotom,Event,Yureyu Power Plant,00027 Yureyu Power Plant,Any,011 - Luna,"Back Room, Change forms in Ametrine City",X,,,,Yes,Y,N,Y,Electric,Ghost,,Y,-,Y
Dhelmise,Event,Wasteland Wall,00039 Wasteland Wall,Any,011 - Luna,"After getting crystal key, go back to the cave where Saphira busted through the wall in Tanzan Mountain",X,,,,Yes,Y,N,Y,Ghost,Grass,,,-,Y
Amaura,Event,Spinel Town,00045 Spinel Town,Any,011 - Luna,"Provide Helix cult in 7th Street with asked for fossil. In south western building, Revive Jaw Fossil in Spinel.",x,,,,,N,N,Y,Rock,Ice,,Y,1,
Tyrunt,Event,Spinel Town,00045 Spinel Town,Any,011 - Luna,See Amaura entry about Helic Cult,x,,,,,Y,N,Y,Rock,Dragon,,Y,1,
Makuhita,Event,7th Street,00064 7th Street,Any,011 - Luna,3 Green Shards Unique OT,x,,,,,N,Y,Y,Fighting,,,Y,1,
Vanillite,Event,7th Street,00064 7th Street,Any,011 - Luna,3 Purple Shards Unique OT,x,,,,,N,N,Y,Ice,,,Y,2,
Roggenrola,Event,7th Street,00064 7th Street,Any,011 - Luna,3 Red Shards Unique OT,x,,,,,Y,N,Y,Rock,,,Y,2,
Loudred,Event,7th Street,00064 7th Street,Any,011 - Luna,5 Blue Shards Unique OT,x,,,,,N,N,Y,Normal,,,,1,
Jigglypuff,Event,7th Street,00064 7th Street,Any,011 - Luna,5 Green Shards Unique OT,x,,,,,Y,N,Y,Normal,Fairy,,,1,
Lickitung,Event,7th Street,00064 7th Street,Any,011 - Luna,7 Blue Shards Unique OT,x,,,,,Y,N,Y,Normal,,,Y,1,
Ditto,Event,7th Street,00064 7th Street,Any,011 - Luna,8 Green Shards Unique OT,x,,,,Yes,N,Y,Y,Normal,,,Y,-,Y
Abra,Event,7th Street,00064 7th Street,Any,011 - Luna,8 Purple Shards Unique OT,x,,,,,Y,N,Y,Psychic,,,Y,2,
Cyndaquil,Event,7th Street,00064 7th Street,Any,011 - Luna,9 Red Shards Unique OT,x,,,,,N,Y,Y,Fire,,,Y,2,
